casa	local	tam	prv	util	id	ter	tax	prc
40	bairroD	media	157.0	167.2	12.0	3390.0	3982.0	164.5
41	bairroD	media	128.0	157.9	25.0	1560.0	3374.0	159.3
42	bairroD	media	110.0	139.4	11.0	1770.0	3119.0	114.4
43	bairroB	media	123.0	167.2	43.0	1170.0	3268.0	117.0
44	bairroC	grande	212.0	362.3	202.0	12870.0	3648.0	212.6
45	bairroC	media	145.0	167.2	44.0	660.0	2783.0	136.2
46	bairroD	pequena	129.0	92.9	15.0	3000.0	2438.0	162.0
47	bairroA	media	143.0	195.1	10.0	3600.0	3529.0	155.3
48	bairroB	media	247.0	269.4	4.0	3750.0	4626.0	225.5
49	bairroB	pequena	111.0	139.4	97.0	3330.0	3205.0	116.3
50	bairroA	pequena	133.0	241.5	42.0	1080.0	3059.0	119.8
51	bairroA	grande	160.0	260.1	60.0	840.0	3169.0	162.7
52	bairroA	media	180.0	167.2	12.0	1290.0	4035.0	151.2
53	bairroD	pequena	132.0	120.8	41.0	990.0	1473.0	127.7
54	bairroB	pequena	140.0	157.9	22.0	1380.0	3206.0	139.4
55	bairroC	media	240.0	232.3	5.0	6150.0	3615.0	278.3
56	bairroC	media	140.0	167.2	9.0	1710.0	3030.0	153.3
57	bairroC	media	160.0	185.8	18.0	12000.0	3133.0	153.0
58	bairroC	media	225.0	204.4	16.0	6660.0	5160.0	210.4
59	bairroD	grande	285.0	278.7	30.0	1590.0	5704.0	195.5
60	bairroA	pequena	90.0	92.9	43.0	900.0	2056.0	81.0
61	bairroB	pequena	157.0	204.4	18.0	1140.0	4129.0	161.3
62	bairroC	pequena	90.0	148.6	50.0	1950.0	1447.0	85.2
63	bairroD	media	238.0	232.3	2.0	4830.0	2089.0	265.8
64	bairroD	media	116.0	185.8	13.0	660.0	2820.0	117.0
65	bairroB	media	180.0	204.4	15.0	6180.0	3919.0	195.6
66	bairroC	media	170.0	157.9	33.0	1380.0	2222.0	140.9
67	bairroC	media	170.0	213.7	37.0	810.0	3500.0	180.6
68	bairroB	pequena	140.0	176.5	22.0	1890.0	3609.0	87.8
69	bairroB	pequena	160.0	157.9	13.0	1080.0	3650.0	198.0
70	bairroA	media	153.0	176.5	24.0	1020.0	3563.0	139.1
71	bairroA	media	190.0	223.0	10.0	4650.0	4683.0	167.4
72	bairroA	media	305.0	241.5	6.0	1380.0	7090.0	239.3
73	bairroC	media	170.0	185.8	46.0	1380.0	3484.0	171.2
74	bairroC	grande	193.0	204.4	37.0	1440.0	3922.0	180.7
75	bairroC	grande	190.0	195.1	27.0	3900.0	4164.0	170.7
76	bairroB	media	165.0	185.8	7.0	900.0	3787.0	164.9
77	bairroA	media	115.0	148.6	26.0	870.0	3105.0	81.4
78	bairroA	media	145.0	167.2	35.0	1290.0	3365.0	139.9
79	bairroC	media	625.0	594.6	4.0	2550.0	12194.0	627.3
80	bairroB	media	185.0	185.8	11.0	3000.0	3833.0	187.9
81	bairroD	pequena	188.0	157.9	16.0	9000.0	3566.0	201.3
82	bairroD	media	193.0	185.8	56.0	19470.0	3767.0	175.2
83	bairroD	media	155.0	157.9	33.0	2100.0	3363.0	177.7
84	bairroA	pequena	153.0	120.8	22.0	1170.0	3952.0	158.5
85	bairroC	pequena	159.0	139.4	25.0	1770.0	3057.0	129.5
86	bairroA	pequena	150.0	148.6	31.0	1080.0	2952.0	132.6
87	bairroB	media	190.0	223.0	33.0	1710.0	3348.0	179.9
88	bairroC	media	130.0	185.8	65.0	1200.0	3336.0	140.2
89	bairroD	grande	270.0	334.4	33.0	3600.0	5855.0	252.5
90	bairroB	media	163.0	167.2	12.0	3390.0	3984.0	141.1
91	bairroA	media	135.0	157.9	25.0	1560.0	3376.0	149.5
92	bairroC	media	120.0	139.4	11.0	1770.0	3121.0	146.9
93	bairroB	media	130.0	167.2	43.0	1170.0	3270.0	119.8
94	bairroC	grande	230.0	362.3	202.0	12870.0	3650.0	214.3
95	bairroA	media	145.0	167.2	44.0	660.0	2785.0	117.6
96	bairroA	pequena	135.0	92.9	15.0	3000.0	2440.0	86.4
97	bairroD	media	145.0	195.1	10.0	3600.0	3531.0	154.6
98	bairroB	media	252.0	269.4	4.0	3750.0	4628.0	276.8
99	bairroD	pequena	120.0	139.4	97.0	3330.0	3207.0	109.9
100	bairroC	pequena	145.0	241.5	42.0	1080.0	3061.0	104.1
